date,station_code,item_code,category,item_name,quantity,unit,minimum_required,daily_usage,days_remaining,resupply_event,resupply_quantity,inventory_status,data_source
2016-01-05,MAITRI,FOOD-M01,FOOD,Food Supplies,1830.0,kg,1200,2.5,732.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-05,MAITRI,MED-M01,MEDICAL,Medical Supplies,419.4,units,300,0.15,2796.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-05,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,184.2,units,150,0.2,920.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-05,MAITRI,BAT-M01,SPARES,Battery Components,95.2,units,100,0.5,190.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-06,MAITRI,FOOD-M01,FOOD,Food Supplies,1827.5,kg,1200,2.5,731.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-06,MAITRI,MED-M01,MEDICAL,Medical Supplies,419.25,units,300,0.15,2795.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-06,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,184.0,units,150,0.2,920.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-06,MAITRI,BAT-M01,SPARES,Battery Components,94.7,units,100,0.5,189.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-07,MAITRI,FOOD-M01,FOOD,Food Supplies,1825.0,kg,1200,2.5,730.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-07,MAITRI,MED-M01,MEDICAL,Medical Supplies,419.1,units,300,0.15,2794.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-07,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,183.8,units,150,0.2,919.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-07,MAITRI,BAT-M01,SPARES,Battery Components,94.2,units,100,0.5,188.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-08,MAITRI,FOOD-M01,FOOD,Food Supplies,1822.5,kg,1200,2.5,729.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-08,MAITRI,MED-M01,MEDICAL,Medical Supplies,418.95,units,300,0.15,2793.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-08,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,183.6,units,150,0.2,917.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-08,MAITRI,BAT-M01,SPARES,Battery Components,93.7,units,100,0.5,187.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-09,MAITRI,FOOD-M01,FOOD,Food Supplies,1820.0,kg,1200,2.5,728.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-09,MAITRI,MED-M01,MEDICAL,Medical Supplies,418.8,units,300,0.15,2792.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-09,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,183.4,units,150,0.2,917.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-09,MAITRI,BAT-M01,SPARES,Battery Components,93.2,units,100,0.5,186.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-10,MAITRI,FOOD-M01,FOOD,Food Supplies,1817.5,kg,1200,2.5,727.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-10,MAITRI,MED-M01,MEDICAL,Medical Supplies,418.65,units,300,0.15,2791.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-10,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,183.2,units,150,0.2,915.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-10,MAITRI,BAT-M01,SPARES,Battery Components,92.7,units,100,0.5,185.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-11,MAITRI,FOOD-M01,FOOD,Food Supplies,1815.0,kg,1200,2.5,726.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-11,MAITRI,MED-M01,MEDICAL,Medical Supplies,418.5,units,300,0.15,2790.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-11,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,183.0,units,150,0.2,915.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-11,MAITRI,BAT-M01,SPARES,Battery Components,92.2,units,100,0.5,184.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-12,MAITRI,FOOD-M01,FOOD,Food Supplies,1812.5,kg,1200,2.5,725.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-12,MAITRI,MED-M01,MEDICAL,Medical Supplies,418.35,units,300,0.15,2789.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-12,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,182.8,units,150,0.2,914.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-12,MAITRI,BAT-M01,SPARES,Battery Components,91.7,units,100,0.5,183.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-13,MAITRI,FOOD-M01,FOOD,Food Supplies,1810.0,kg,1200,2.5,724.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-13,MAITRI,MED-M01,MEDICAL,Medical Supplies,418.2,units,300,0.15,2788.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-13,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,182.6,units,150,0.2,912.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-13,MAITRI,BAT-M01,SPARES,Battery Components,91.2,units,100,0.5,182.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-14,MAITRI,FOOD-M01,FOOD,Food Supplies,1807.5,kg,1200,2.5,723.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-14,MAITRI,MED-M01,MEDICAL,Medical Supplies,418.05,units,300,0.15,2787.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-14,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,182.4,units,150,0.2,912.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-14,MAITRI,BAT-M01,SPARES,Battery Components,90.7,units,100,0.5,181.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-15,MAITRI,FOOD-M01,FOOD,Food Supplies,1805.0,kg,1200,2.5,722.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-15,MAITRI,MED-M01,MEDICAL,Medical Supplies,417.9,units,300,0.15,2786.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-15,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,182.2,units,150,0.2,910.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-15,MAITRI,BAT-M01,SPARES,Battery Components,90.2,units,100,0.5,180.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-16,MAITRI,FOOD-M01,FOOD,Food Supplies,1802.5,kg,1200,2.5,721.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-16,MAITRI,MED-M01,MEDICAL,Medical Supplies,417.75,units,300,0.15,2785.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-16,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,182.0,units,150,0.2,910.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-16,MAITRI,BAT-M01,SPARES,Battery Components,89.7,units,100,0.5,179.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-17,MAITRI,FOOD-M01,FOOD,Food Supplies,1800.0,kg,1200,2.5,720.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-17,MAITRI,MED-M01,MEDICAL,Medical Supplies,417.6,units,300,0.15,2784.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-17,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,181.8,units,150,0.2,909.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-17,MAITRI,BAT-M01,SPARES,Battery Components,89.2,units,100,0.5,178.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-18,MAITRI,FOOD-M01,FOOD,Food Supplies,1797.5,kg,1200,2.5,719.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-18,MAITRI,MED-M01,MEDICAL,Medical Supplies,417.45,units,300,0.15,2783.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-18,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,181.6,units,150,0.2,907.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-18,MAITRI,BAT-M01,SPARES,Battery Components,88.7,units,100,0.5,177.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-19,MAITRI,FOOD-M01,FOOD,Food Supplies,1795.0,kg,1200,2.5,718.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-19,MAITRI,MED-M01,MEDICAL,Medical Supplies,417.3,units,300,0.15,2782.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-19,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,181.4,units,150,0.2,907.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-19,MAITRI,BAT-M01,SPARES,Battery Components,88.2,units,100,0.5,176.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-20,MAITRI,FOOD-M01,FOOD,Food Supplies,1792.5,kg,1200,2.5,717.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-20,MAITRI,MED-M01,MEDICAL,Medical Supplies,417.15,units,300,0.15,2781.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-20,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,181.2,units,150,0.2,905.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-20,MAITRI,BAT-M01,SPARES,Battery Components,87.7,units,100,0.5,175.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-21,MAITRI,FOOD-M01,FOOD,Food Supplies,1790.0,kg,1200,2.5,716.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-21,MAITRI,MED-M01,MEDICAL,Medical Supplies,417.0,units,300,0.15,2780.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-21,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,181.0,units,150,0.2,905.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-21,MAITRI,BAT-M01,SPARES,Battery Components,87.2,units,100,0.5,174.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-22,MAITRI,FOOD-M01,FOOD,Food Supplies,1787.5,kg,1200,2.5,715.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-22,MAITRI,MED-M01,MEDICAL,Medical Supplies,416.85,units,300,0.15,2779.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-22,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,180.8,units,150,0.2,904.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-22,MAITRI,BAT-M01,SPARES,Battery Components,86.7,units,100,0.5,173.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-23,MAITRI,FOOD-M01,FOOD,Food Supplies,1785.0,kg,1200,2.5,714.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-23,MAITRI,MED-M01,MEDICAL,Medical Supplies,416.7,units,300,0.15,2778.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-23,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,180.6,units,150,0.2,902.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-23,MAITRI,BAT-M01,SPARES,Battery Components,86.2,units,100,0.5,172.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-24,MAITRI,FOOD-M01,FOOD,Food Supplies,1782.5,kg,1200,2.5,713.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-24,MAITRI,MED-M01,MEDICAL,Medical Supplies,416.55,units,300,0.15,2777.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-24,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,180.4,units,150,0.2,902.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-24,MAITRI,BAT-M01,SPARES,Battery Components,85.7,units,100,0.5,171.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-25,MAITRI,FOOD-M01,FOOD,Food Supplies,1780.0,kg,1200,2.5,712.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-25,MAITRI,MED-M01,MEDICAL,Medical Supplies,416.4,units,300,0.15,2776.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-25,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,180.2,units,150,0.2,900.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-25,MAITRI,BAT-M01,SPARES,Battery Components,85.2,units,100,0.5,170.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-26,MAITRI,FOOD-M01,FOOD,Food Supplies,1777.5,kg,1200,2.5,711.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-26,MAITRI,MED-M01,MEDICAL,Medical Supplies,416.25,units,300,0.15,2775.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-26,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,180.0,units,150,0.2,900.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-26,MAITRI,BAT-M01,SPARES,Battery Components,84.7,units,100,0.5,169.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-27,MAITRI,FOOD-M01,FOOD,Food Supplies,1775.0,kg,1200,2.5,710.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-27,MAITRI,MED-M01,MEDICAL,Medical Supplies,416.1,units,300,0.15,2774.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-27,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,179.8,units,150,0.2,899.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-27,MAITRI,BAT-M01,SPARES,Battery Components,84.2,units,100,0.5,168.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-28,MAITRI,FOOD-M01,FOOD,Food Supplies,1772.5,kg,1200,2.5,709.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-28,MAITRI,MED-M01,MEDICAL,Medical Supplies,415.95,units,300,0.15,2773.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-28,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,179.6,units,150,0.2,897.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-28,MAITRI,BAT-M01,SPARES,Battery Components,83.7,units,100,0.5,167.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-29,MAITRI,FOOD-M01,FOOD,Food Supplies,1770.0,kg,1200,2.5,708.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-29,MAITRI,MED-M01,MEDICAL,Medical Supplies,415.8,units,300,0.15,2772.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-29,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,179.4,units,150,0.2,897.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-29,MAITRI,BAT-M01,SPARES,Battery Components,83.2,units,100,0.5,166.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-30,MAITRI,FOOD-M01,FOOD,Food Supplies,1767.5,kg,1200,2.5,707.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-30,MAITRI,MED-M01,MEDICAL,Medical Supplies,415.65,units,300,0.15,2771.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-30,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,179.2,units,150,0.2,895.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-30,MAITRI,BAT-M01,SPARES,Battery Components,82.7,units,100,0.5,165.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-01-31,MAITRI,FOOD-M01,FOOD,Food Supplies,1765.0,kg,1200,2.5,706.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-31,MAITRI,MED-M01,MEDICAL,Medical Supplies,415.5,units,300,0.15,2770.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-31,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,179.0,units,150,0.2,895.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-01-31,MAITRI,BAT-M01,SPARES,Battery Components,82.2,units,100,0.5,164.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-01,MAITRI,FOOD-M01,FOOD,Food Supplies,1762.5,kg,1200,2.5,705.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-01,MAITRI,MED-M01,MEDICAL,Medical Supplies,415.35,units,300,0.15,2769.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-01,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,178.8,units,150,0.2,894.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-01,MAITRI,BAT-M01,SPARES,Battery Components,81.7,units,100,0.5,163.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-02,MAITRI,FOOD-M01,FOOD,Food Supplies,1760.0,kg,1200,2.5,704.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-02,MAITRI,MED-M01,MEDICAL,Medical Supplies,415.2,units,300,0.15,2768.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-02,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,178.6,units,150,0.2,892.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-02,MAITRI,BAT-M01,SPARES,Battery Components,81.2,units,100,0.5,162.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-03,MAITRI,FOOD-M01,FOOD,Food Supplies,1757.5,kg,1200,2.5,703.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-03,MAITRI,MED-M01,MEDICAL,Medical Supplies,415.05,units,300,0.15,2767.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-03,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,178.4,units,150,0.2,892.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-03,MAITRI,BAT-M01,SPARES,Battery Components,80.7,units,100,0.5,161.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-04,MAITRI,FOOD-M01,FOOD,Food Supplies,1755.0,kg,1200,2.5,702.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-04,MAITRI,MED-M01,MEDICAL,Medical Supplies,414.9,units,300,0.15,2766.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-04,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,178.2,units,150,0.2,890.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-04,MAITRI,BAT-M01,SPARES,Battery Components,80.2,units,100,0.5,160.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-05,MAITRI,FOOD-M01,FOOD,Food Supplies,1752.5,kg,1200,2.5,701.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-05,MAITRI,MED-M01,MEDICAL,Medical Supplies,414.75,units,300,0.15,2765.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-05,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,178.0,units,150,0.2,890.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-05,MAITRI,BAT-M01,SPARES,Battery Components,79.7,units,100,0.5,159.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-06,MAITRI,FOOD-M01,FOOD,Food Supplies,1750.0,kg,1200,2.5,700.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-06,MAITRI,MED-M01,MEDICAL,Medical Supplies,414.6,units,300,0.15,2764.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-06,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,177.8,units,150,0.2,889.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-06,MAITRI,BAT-M01,SPARES,Battery Components,79.2,units,100,0.5,158.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-07,MAITRI,FOOD-M01,FOOD,Food Supplies,1747.5,kg,1200,2.5,699.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-07,MAITRI,MED-M01,MEDICAL,Medical Supplies,414.45,units,300,0.15,2763.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-07,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,177.6,units,150,0.2,887.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-07,MAITRI,BAT-M01,SPARES,Battery Components,78.7,units,100,0.5,157.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-08,MAITRI,FOOD-M01,FOOD,Food Supplies,1745.0,kg,1200,2.5,698.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-08,MAITRI,MED-M01,MEDICAL,Medical Supplies,414.3,units,300,0.15,2762.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-08,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,177.4,units,150,0.2,887.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-08,MAITRI,BAT-M01,SPARES,Battery Components,78.2,units,100,0.5,156.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-09,MAITRI,FOOD-M01,FOOD,Food Supplies,1742.5,kg,1200,2.5,697.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-09,MAITRI,MED-M01,MEDICAL,Medical Supplies,414.15,units,300,0.15,2761.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-09,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,177.2,units,150,0.2,885.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-09,MAITRI,BAT-M01,SPARES,Battery Components,77.7,units,100,0.5,155.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-10,MAITRI,FOOD-M01,FOOD,Food Supplies,1740.0,kg,1200,2.5,696.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-10,MAITRI,MED-M01,MEDICAL,Medical Supplies,414.0,units,300,0.15,2760.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-10,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,177.0,units,150,0.2,885.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-10,MAITRI,BAT-M01,SPARES,Battery Components,77.2,units,100,0.5,154.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-11,MAITRI,FOOD-M01,FOOD,Food Supplies,1737.5,kg,1200,2.5,695.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-11,MAITRI,MED-M01,MEDICAL,Medical Supplies,413.85,units,300,0.15,2759.0000000000005,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-11,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,176.8,units,150,0.2,884.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-11,MAITRI,BAT-M01,SPARES,Battery Components,76.7,units,100,0.5,153.4,True,25.2,LOW,SIMULATED_OPERATIONAL
2016-02-12,MAITRI,FOOD-M01,FOOD,Food Supplies,1735.0,kg,1200,2.5,694.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-12,MAITRI,MED-M01,MEDICAL,Medical Supplies,413.7,units,300,0.15,2758.0,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-12,MAITRI,SPR-M01,SPARES,Mechanical Spare Parts,176.6,units,150,0.2,882.9999999999999,False,0.0,AVAILABLE,SIMULATED_OPERATIONAL
2016-02-12,MAITRI,BAT-M01,SPARES,Battery Components,76.2,units,100,0.5,152.4,True,25.2,LOW,SIMULATED_OPERATIONAL
